issue,draw_date,sales_amount,one,two,three
2004293,2004-10-26,0,5,0,5
2004292,2004-10-25,0,4,7,1
2004291,2004-10-24,0,1,4,4
2004290,2004-10-23,0,6,1,1
2004289,2004-10-22,0,9,4,1
2004288,2004-10-21,0,7,9,1
2004287,2004-10-20,0,9,8,6
2004286,2004-10-19,0,5,5,7
2004285,2004-10-18,0,0,7,0
2004284,2004-10-17,0,6,9,0
2004283,2004-10-16,0,8,5,1
2004282,2004-10-15,0,7,8,9
2004281,2004-10-14,0,0,0,6
2004280,2004-10-13,0,2,8,3
2004279,2004-10-12,0,4,6,0
2004278,2004-10-11,0,8,8,0
2004277,2004-10-10,0,9,5,7
2004276,2004-10-09,0,0,8,5
2004275,2004-10-08,0,0,7,9
2004274,2004-10-07,0,8,0,5
2004273,2004-10-06,0,7,8,8
2004272,2004-10-05,0,3,9,9
2004271,2004-10-04,0,2,7,3
2004270,2004-10-03,0,1,4,1
2004269,2004-10-02,0,5,9,3
2004268,2004-10-01,0,0,5,1
2004267,2004-09-30,0,3,3,8
2004266,2004-09-29,0,5,9,4
2004265,2004-09-28,0,8,6,1
2004264,2004-09-27,0,9,6,4
2004263,2004-09-26,0,9,6,7
2004262,2004-09-25,0,6,2,0
2004261,2004-09-24,0,5,3,7
2004260,2004-09-23,0,2,7,7
2004259,2004-09-22,0,1,0,2
2004258,2004-09-21,0,8,9,4
2004257,2004-09-20,0,1,4,1
2004256,2004-09-19,0,4,6,4
2004255,2004-09-18,0,0,2,5
2004254,2004-09-17,0,9,1,8
2004253,2004-09-16,0,0,5,9
2004252,2004-09-15,0,9,7,4
2004251,2004-09-14,0,0,7,0
2004250,2004-09-13,0,4,1,6
2004249,2004-09-12,0,3,4,6
2004248,2004-09-11,0,3,8,3
2004247,2004-09-10,0,1,1,5
2004246,2004-09-09,0,6,4,2
2004245,2004-09-08,0,5,6,7
2004244,2004-09-07,0,3,7,5
2004243,2004-09-06,0,2,8,0
2004242,2004-09-05,0,2,5,0
2004241,2004-09-04,0,0,7,5
2004240,2004-09-03,0,7,5,5
2004239,2004-09-02,0,5,1,5
2004238,2004-09-01,0,4,9,5
2004237,2004-08-31,0,7,7,1
2004236,2004-08-30,0,7,5,1
2004235,2004-08-29,0,2,4,2
2004234,2004-08-28,0,6,8,6
2004233,2004-08-27,0,0,9,3
2004232,2004-08-26,0,8,4,7
2004231,2004-08-25,0,4,6,7
2004230,2004-08-24,0,9,9,9
2004229,2004-08-23,0,1,6,0
2004228,2004-08-22,0,1,7,1
2004227,2004-08-21,0,9,6,3
2004226,2004-08-20,0,5,3,1
2004225,2004-08-19,0,6,5,1
2004224,2004-08-18,0,7,9,5
2004223,2004-08-17,0,0,5,2
2004222,2004-08-16,0,7,6,7
2004221,2004-08-15,0,0,2,6
2004220,2004-08-14,0,8,0,5
2004219,2004-08-13,0,4,0,0
2004218,2004-08-12,0,9,2,4
2004217,2004-08-11,0,4,5,9
2004216,2004-08-10,0,9,1,4
2004215,2004-08-09,0,9,0,5
2004214,2004-08-08,0,9,7,8
2004213,2004-08-07,0,4,5,5
2004212,2004-08-06,0,9,0,2
2004211,2004-08-05,0,6,2,8
2004210,2004-08-04,0,7,0,9
2004209,2004-08-03,0,1,4,9
2004208,2004-08-02,0,5,9,9
